City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Khatanga,RU,2021-12-06 21:45:07,71.9667,102.5,-7.13,98,100,8.79
245,Lahij,YE,2021-12-06 21:45:07,13.1667,44.5833,71.82,77,74,6.76
246,Takoradi,GH,2021-12-06 21:43:52,4.8845,-1.7554,80.65,82,95,8.88
247,Khorixas,NA,2021-12-06 21:45:07,-20.3667,14.9667,68.49,34,0,4.5
248,Pictou,CA,2021-12-06 21:45:07,45.6834,-62.7153,44.49,93,100,29.93
249,Mandera,KE,2021-12-06 21:45:08,3.9366,41.867,84.56,36,70,5.01
250,Itarema,BR,2021-12-06 21:45:08,-2.9248,-39.9167,81.19,80,42,18.52
251,Carnarvon,AU,2021-12-06 21:41:33,-24.8667,113.6333,71.67,83,90,14.97
252,Ust-Koksa,RU,2021-12-06 21:45:09,50.2696,85.6108,20.19,86,95,0.47
253,Lucea,JM,2021-12-06 21:45:10,18.451,-78.1736,84.06,76,16,12.48
254,Leeton,AU,2021-12-06 21:45:10,-34.5667,146.4,69.71,73,1,6.91
255,Kashi,CN,2021-12-06 21:45:10,39.4547,75.9797,27.61,50,52,8.95
256,Isangel,VU,2021-12-06 21:45:11,-19.55,169.2667,84.31,74,40,0.0
257,Xining,CN,2021-12-06 21:45:12,36.6167,101.7667,25.56,42,54,0.4
258,Barentu,ER,2021-12-06 21:45:12,15.1139,37.5928,71.65,42,0,4.76
259,Gemona,IT,2021-12-06 21:45:13,46.2794,13.1431,36.52,76,2,7.94
260,Yulara,AU,2021-12-06 21:45:13,-25.2406,130.9889,71.44,60,3,10.36
261,Dali,CN,2021-12-06 21:45:13,25.7,100.1833,50.59,92,90,2.84
262,Vila,PT,2021-12-06 21:45:14,42.0304,-8.1588,44.33,95,100,3.76
263,Riga,LV,2021-12-06 21:42:05,57.0,24.0833,5.07,92,40,3.44
264,Beidao,CN,2021-12-06 21:45:14,34.5686,105.8933,37.85,84,100,4.54
265,Hervey Bay,AU,2021-12-06 21:45:14,-25.2986,152.8535,79.03,74,99,8.81
266,Thompson,CA,2021-12-06 21:38:45,55.7435,-97.8558,-16.44,69,1,9.22
267,Talnakh,RU,2021-12-06 21:45:15,69.4865,88.3972,-9.8,99,100,12.3
268,Touros,BR,2021-12-06 21:45:16,-5.1989,-35.4608,81.5,73,11,14.85
269,Fukue,JP,2021-12-06 21:45:17,32.6881,128.8419,58.1,61,32,14.23
270,Ergani,TR,2021-12-06 21:45:18,38.2653,39.7621,31.55,47,6,2.44
271,San Quintin,MX,2021-12-06 21:45:18,30.4833,-115.95,66.11,66,0,8.59
272,Manitouwadge,CA,2021-12-06 21:46:18,49.1215,-85.8403,5.72,89,100,12.82
273,Lermontovka,RU,2021-12-06 21:46:19,47.1453,134.3383,6.42,98,60,3.51
274,Grindavik,IS,2021-12-06 21:46:19,63.8424,-22.4338,36.07,64,75,23.02
275,Progreso,MX,2021-12-06 21:46:19,21.2833,-89.6667,91.11,79,6,11.41
276,Port Hardy,CA,2021-12-06 21:42:53,50.6996,-127.4199,41.0,93,90,27.63
277,Batetskiy,RU,2021-12-06 21:46:20,58.6461,30.3027,10.69,96,100,3.69
278,San Carlos De Bariloche,AR,2021-12-06 21:46:20,-41.1456,-71.3082,87.55,15,20,11.5
279,Faya,SA,2021-12-06 21:46:21,18.3851,42.4509,54.12,28,0,3.36
280,Calama,CL,2021-12-06 21:44:07,-22.4667,-68.9333,69.42,15,100,10.07
281,Aklavik,CA,2021-12-06 21:46:21,68.2191,-135.0107,16.52,85,75,6.91
282,Marzuq,YE,2021-12-06 21:46:22,14.4,46.4667,59.25,33,6,2.06
283,Ostrovnoy,RU,2021-12-06 21:46:22,68.0531,39.5131,14.29,92,97,21.63
284,Orotukan,RU,2021-12-06 21:46:22,62.2667,151.7,-28.93,93,74,1.52
285,Tomatlan,MX,2021-12-06 21:46:23,19.9333,-105.25,88.63,43,84,7.29
286,Jeremie,HT,2021-12-06 21:46:23,18.65,-74.1167,80.15,77,12,3.71
287,Port Macquarie,AU,2021-12-06 21:42:43,-31.4333,152.9167,69.89,79,100,9.19
288,Yellowknife,CA,2021-12-06 21:43:33,62.456,-114.3525,-16.58,86,75,5.75
289,Bandarbeyla,SO,2021-12-06 21:46:24,9.4942,50.8122,75.83,64,9,15.64
290,Torres,BR,2021-12-06 21:46:24,-29.3353,-49.7269,67.82,87,27,11.41
291,Mayo,US,2021-12-06 21:43:41,38.8876,-76.5119,70.95,66,100,5.01
